authors;affiliation;location;NEP.AFR;NEP.ENV;NEP.DEV;sum_publi;country;city
Richard John Harrison; Bank of England; London, United Kingdom;NA;NA;NA;85;United Kingdom;London
Alan Hughes;(60%) ESRC Centre for Business ResearchUniversity of Cambridge; Cambridge, United Kingdom;NA;NA;NA;55;United Kingdom;Cambridge
Gordon Hughes; School of EconomicsUniversity of Edinburgh; Edinburgh, United Kingdom;NA;NA;NA;12;United Kingdom;Edinburgh
Victor Hiller; Laboratoire d'Économie Mathématique et Microéconomique Appliquée (LEMMA)Département de Sciences Économiques et de GestionUniversité Panthéon-Assas (Paris II); Paris, France;1;NA;2;23;France;Paris
Grant H Hillier;"Economics Division
University of Southampton"; Southampton, United Kingdom;NA;NA;NA;0;United Kingdom;Southampton
Niall E Hughes; Business SchoolKing's College London; London, United Kingdom;NA;NA;NA;23;United Kingdom;London
Robert A Hart;(70%) Economics DivisionStirling Management SchoolUniversity of Stirling; Stirling, United Kingdom;NA;NA;NA;121;United Kingdom;Stirling
David Hugh-Jones; School of EconomicsUniversity of East Anglia; Norwich, United Kingdom;NA;NA;NA;68;United Kingdom;Norwich
Robert Hills; Bank of England; London, United Kingdom;NA;NA;NA;51;United Kingdom;London
Helen Hughson; International Inequalities InstituteLondon School of Economics (LSE); London, United Kingdom;NA;NA;NA;10;United Kingdom;London
Keith Hartley; Department of Economics and Related StudiesUniversity of York; York, United Kingdom;NA;NA;NA;2;United Kingdom;York
Emeline Hily; Laboratoire d'Économie Forestière; Nancy, France;NA;2;NA;5;France;Nancy
Rozana Himaz; Department of International Development (Queen Elizabeth House)Oxford University; Oxford, United Kingdom;NA;NA;2;16;United Kingdom;Oxford
Roger Hartley; Centre for Economic ResearchKeele Management SchoolUniversity of Keele; Staffordshire, United Kingdom;NA;NA;NA;17;United Kingdom;Staffordshire
Mihaly Himics; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;11;NA;55;Spain;Sevilla
Christoph Himmels; Macroeconomics Growth and Development Research GroupSchool of EconomicsUniversity of Manchester; Manchester, United Kingdom;NA;NA;NA;14;United Kingdom;Manchester
Neha Hui; Department of EconomicsUniversity of Reading; Reading, United Kingdom;NA;NA;1;5;United Kingdom;Reading
Nicolas Himounet; Centre d'Économie de l'Université Paris-Nord (CEPN)Université Paris-13; Paris, France;NA;NA;NA;2;France;Paris
Elise Huillery; Laboratoire d'Économie de Dauphine (LEDa)Université Paris-Dauphine (Paris IX); Paris, France;4;1;6;42;France;Paris
Sebastian Hinde; Centre for Health EconomicsDepartment of Economics and Related StudiesUniversity of York; York, United Kingdom;NA;NA;NA;0;United Kingdom;York
Christopher Andrew Hartwell;(85%) Business SchoolFaculty of ManagementBournemouth University; Bournemouth, United Kingdom;NA;1;NA;12;United Kingdom;Bournemouth
Martin Hulenyi; Lille Économie et Management (LEM); Lille, France;NA;NA;NA;8;France;Lille
Timothy Hinks; Bristol Business SchoolUniversity of the West of England; Bristol, United Kingdom;3;NA;3;23;United Kingdom;Bristol
Marit Hinnosaar;(90%) School of EconomicsUniversity of Nottingham; Nottingham, United Kingdom;NA;NA;NA;30;United Kingdom;Nottingham
Toomas Hinnosaar;(90%) School of EconomicsUniversity of Nottingham; Nottingham, United Kingdom;NA;NA;NA;43;United Kingdom;Nottingham
Simon Hinrichsen; Department of Economic HistoryLondon School of Economics (LSE); London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Marc Hinterschweiger; Bank of England; London, United Kingdom;NA;NA;NA;18;United Kingdom;London
Michael James Hume; European InstituteLondon School of Economics (LSE); London, United Kingdom;NA;NA;NA;4;United Kingdom;London
Pedro Hipola; Universidad de Granada / Facultad de Comunicación y Documentación / Departamento de Información y Comunicación (University of Granada - Faculty of Communication and Documentation - Department of Information and Communication); Granada, Spain;NA;NA;NA;0;Spain;Granada
Andrew C Harvey; Faculty of EconomicsUniversity of Cambridge; Cambridge, United Kingdom;NA;NA;1;85;United Kingdom;Cambridge
David I Harvey; Granger Centre for Time Series EconometricsSchool of EconomicsUniversity of Nottingham; Nottingham, United Kingdom;NA;NA;NA;37;United Kingdom;Nottingham
Laura Harvey; School of EconomicsUniversity of East Anglia; Norwich, United Kingdom;NA;NA;NA;5;United Kingdom;Norwich
David John Humphry; Bank of England; London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Fakhrul Hasan; York Management SchoolUniversity of York; York, United Kingdom;NA;NA;NA;0;United Kingdom;York
Chi-Hsiou Daniel Hung; Department of Accounting and FinanceAdam Smith Business SchoolUniversity of Glasgow; Glasgow, United Kingdom;NA;NA;NA;0;United Kingdom;Glasgow
Thilo Rene Huning; Department of Economics and Related StudiesUniversity of York; York, United Kingdom;NA;NA;NA;29;United Kingdom;York
Dominik Hirschbuehl; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;16;Spain;Sevilla
Lester Charles Hunt;(98%) Economics and Finance GroupPortsmouth Business SchoolUniversity of Portsmouth; Portsmouth, United Kingdom;NA;5;NA;68;United Kingdom;Portsmouth
Ivan Hascic; Environment DirectorateOrganisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;21;NA;94;France;Paris
Janet Hunter; Department of Economic HistoryLondon School of Economics (LSE); London, United Kingdom;NA;1;NA;8;United Kingdom;London
Nawar Hashem; Business SchoolUniversity of Greenwich; London, United Kingdom;NA;NA;NA;7;United Kingdom;London
John Hunter; Department of Economics and FinanceBrunel University; Uxbridge, United Kingdom;NA;NA;NA;12;United Kingdom;Uxbridge
Iraj Hashi;(70%) Business SchoolStaffordshire University; Stoke-on-Trent, United Kingdom;NA;NA;NA;26;United Kingdom;Stoke-on-Trent
Claudia Hupkau;(80%) Colegio Universitario de Estudios Financieros (CUNEF); Madrid, Spain;NA;NA;NA;26;Spain;Madrid
Mozammel huqHuq; Economics DepartmentUniversity of Strathclyde; Glasgow, United Kingdom;NA;NA;NA;0;United Kingdom;Glasgow
Nigar Hashimzade;(99%) Department of Economics and FinanceBrunel University; Uxbridge, United Kingdom;NA;2;1;35;United Kingdom;Uxbridge
Rodrigo Hizmeri; Department of EconomicsManagement SchoolLancaster University; Lancaster, United Kingdom;NA;NA;NA;6;United Kingdom;Lancaster
Jonathan E Haskel;(98%) Business SchoolImperial College; London, United Kingdom;NA;NA;2;149;United Kingdom;London
Sjaak Hurkens; Institut d'Anàlisi Econòmica CSIC (IAE-CSIC)Barcelona School of Economics (BSE); Barcelona, Spain;NA;NA;NA;78;Spain;Barcelona
Ida Hjortsoe; Bank of England; London, United Kingdom;NA;NA;NA;42;United Kingdom;London
Christophe Hurlin; Laboratoire d'Économie d'Orléans (LEO)Faculté de droit, d'économie et de gestionUniversité d'Orléans; Orléans, France;NA;NA;1;95;France;Orléans
Daniel Hassan; Groupe de Recherche en Économie Mathématique et Quantitative (GREMAQ)Toulouse School of Economics (TSE); Toulouse, France;NA;NA;NA;3;France;Toulouse
Samuel Hurtado; Banco de España; Madrid, Spain;NA;1;NA;102;Spain;Madrid
Syed Shabi-Ul Hassan; School of ManagementSwansea University; Swansea, United Kingdom;NA;NA;NA;3;United Kingdom;Swansea
Hossein Hassani; Business SchoolFaculty of ManagementBournemouth University; Bournemouth, United Kingdom;NA;NA;NA;9;United Kingdom;Bournemouth
Jean-Baptiste Hasse;(90%) École d'Économie d'Aix-MarseilleAix-Marseille Université; Aix-en-Provence/Marseille, France;NA;NA;NA;11;France;Aix-en-Provence
Anne-Caroline Huser; Bank of England; London, United Kingdom;NA;NA;NA;3;United Kingdom;London
Michael Hatcher; Economics DivisionUniversity of Southampton; Southampton, United Kingdom;NA;NA;NA;38;United Kingdom;Southampton
Iftikhar Hussain; Department of EconomicsSussex Business SchoolUniversity of Sussex; Brighton, United Kingdom;NA;NA;NA;5;United Kingdom;Brighton
Sophie Hatte; Groupe d'Analyse et de Théorie Économique Lyon St-Étienne (GATE Lyon St-Étienne)Université de Lyon; Lyon, France;NA;1;NA;36;France;Lyon
Timothy James Hatton; Economics DepartmentUniversity of Essex; Colchester, United Kingdom;NA;2;3;127;United Kingdom;Colchester
Kassim Hussein;(50%) Bangor Business SchoolBangor University; Bangor, United Kingdom;NA;NA;NA;2;United Kingdom;Bangor
Thi Hong Van Hoang; Montpellier Business School; Montpellier, France;NA;NA;NA;8;France;Montpellier
Achim Hauck; Department of Economics, Finance and AccountingBusiness SchoolCoventry University; Coventry, United Kingdom;NA;NA;NA;19;United Kingdom;Coventry
Katharina Hauck; Business SchoolImperial College; London, United Kingdom;NA;NA;NA;5;United Kingdom;London
David Haugh;(50%) Economics DepartmentOrganisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;1;1;73;France;Paris
Alan Hutton; Department of Law, Economics, Accountancy and RiskGlasgow School for Business and SocietyGlasgow Caledonian University; Glasgow, United Kingdom;NA;NA;NA;2;United Kingdom;Glasgow
Esther Hauk;(50%) Institut d'Anàlisi Econòmica CSIC (IAE-CSIC)Barcelona School of Economics (BSE); Barcelona, Spain;NA;3;1;103;Spain;Barcelona
Ian Hodge; Department of Land EconomyUniversity of Cambridge; Cambridge, United Kingdom;NA;3;NA;4;United Kingdom;Cambridge
Lynn Hodgkinson; Bangor Business SchoolBangor University; Bangor, United Kingdom;NA;NA;NA;7;United Kingdom;Bangor
Alexander Haupt;(98%) Business SchoolUniversity of Plymouth; Plymouth, United Kingdom;NA;2;NA;25;United Kingdom;Plymouth
Kim Van Huynh; Laboratoire d'Économie Mathématique et Microéconomique Appliquée (LEMMA)Département de Sciences Économiques et de GestionUniversité Panthéon-Assas (Paris II); Paris, France;NA;NA;NA;12;France;Paris
Geoffrey Martin Hodgson; Economics GroupBusiness SchoolUniversity of Hertfordshire; Hatfield, United Kingdom;NA;NA;NA;10;United Kingdom;Hatfield
Tu Tuan Huynh;(50%) Department of Accounting, Economics and FinanceBristol Business SchoolUniversity of the West of England; Bristol, United Kingdom;NA;NA;NA;0;United Kingdom;Bristol
Morten Hviid;(50%) Centre for Competition PolicyUniversity of East Anglia; Norwich, United Kingdom;NA;NA;NA;34;United Kingdom;Norwich
Oliver P Hauser;(50%) Business SchoolUniversity of Exeter; Exeter, United Kingdom;NA;2;NA;6;United Kingdom;Exeter
Thomas Peter Hoe; Department of EconomicsUniversity College London (UCL); London, United Kingdom;NA;NA;NA;2;United Kingdom;London
Anke Hoeffler; Centre for the Study of African Economies (CSAE)Department of EconomicsOxford University; Oxford, United Kingdom;1;NA;2;6;United Kingdom;Oxford
Pierre Cyrille Hautcoeur;(90%) Paris School of Economics; Paris, France;NA;NA;NA;28;France;Paris
Stuart James Hyde; Alliance Manchester Business SchoolUniversity of Manchester; Manchester, United Kingdom;NA;NA;NA;13;United Kingdom;Manchester
Enkelejda Havari;(80%) IESEG School of ManagementUniversité Catholique de Lille; Lille, France;NA;NA;NA;21;France;Lille
Emmanuel Haven; School of BusinessLeicester University; Leicester, United Kingdom;NA;NA;NA;2;United Kingdom;Leicester
Nathalie Havet; Institut de Science Financière et d'Assurances (École ISFA)Université Claude Bernard (Lyon 1); Lyon, France;NA;1;NA;40;France;Lyon
Tillman Hoenig; Economics DepartmentLondon School of Economics (LSE); London, United Kingdom;1;NA;2;3;United Kingdom;London
William M Hynes;(90%) Organisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;1;NA;4;France;Paris
Olena Havrylchyk; Centre d'Économie de la SorbonneUniversité Paris 1 (Panthéon-Sorbonne); Paris, France;1;NA;NA;61;France;Paris
Johannes Hoerner; Toulouse School of Economics (TSE); Toulouse, France;NA;NA;NA;113;France;Toulouse
Gabriel Alfred Hawawini; INSEAD; Fontainebleau, France;NA;NA;NA;0;France;Fontainebleau
Denise Donna Hawkes; Department of Economics and International BusinessBusiness SchoolUniversity of Greenwich; London, United Kingdom;NA;NA;NA;10;United Kingdom;London
Giammario Impullitti; School of EconomicsUniversity of Nottingham; Nottingham, United Kingdom;NA;NA;NA;186;United Kingdom;Nottingham
Alessandra Iacobucci; Centre de Recherches en Mathématiques de la Décision (CEREMADE)Université Paris-Dauphine (Paris IX); Paris, France;NA;NA;NA;4;France;Paris
Hiroe Ishihara;(50%) Department of Land EconomyUniversity of Cambridge; Cambridge, United Kingdom;NA;1;NA;2;United Kingdom;Cambridge
Maurizio Iacopetta;(99%) SKEMA Business School; Lille, France;NA;NA;1;79;France;Lille
Maria Iacovou; University of Cambridge, Department of Sociology (University of Cambridge, Department of Sociology); Cambridge, United Kingdom;NA;NA;NA;38;United Kingdom;Cambridge
Hande Inanc; Organisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;NA;NA;8;France;Paris
Elena Inarra; Departamento de Análisis EconómicoFacultad de Economía y EmpresaUniversidad del País Vasco - Euskal Herriko Unibertsitatea; Bilbao, Spain;NA;1;NA;12;Spain;Bilbao
Simona Iammarino; Department of Geography and EnvironmentLondon School of Economics (LSE); London, United Kingdom;NA;1;NA;201;United Kingdom;London
Antonella Ianni; Economics DivisionUniversity of Southampton; Southampton, United Kingdom;NA;NA;NA;3;United Kingdom;Southampton
Lorenzo Incoronato;(50%) Department of EconomicsUniversity College London (UCL); London, United Kingdom;NA;NA;NA;5;United Kingdom;London
Maria Chiara Iannino; School of Economics and FinanceUniversity of St. Andrews; Fife, United Kingdom;NA;NA;NA;17;United Kingdom;Fife
Hector i Arolas; Centre de Recerca en Economia i Salut (CRES)Universitat Pompeu Fabra; Barcelona, Spain;NA;NA;NA;9;Spain;Barcelona
Anne Isla; Laboratoire d'Études et de Recherche sur l'Économie, les Politiques et les Systèmes Sociaux (LEREPS)Groupement de Recherches Économiques et Sociales (GRES); Toulouse, France;NA;NA;NA;3;France;Toulouse
Lisette Ibanez; Centre d'Économie de l'Environnement - Montpellier (CEE-M)Faculté de sciences économiquesUniversité de Montpellier; Montpellier, France;NA;9;NA;44;France;Montpellier
Gerardo Infante; Centre for Behavioural and Experimental Social Science (CBESS)University of East Anglia; Norwich, United Kingdom;NA;NA;NA;19;United Kingdom;Norwich
Dolores Ibarreta; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;2;Spain;Sevilla
Hilary Ingham; Department of EconomicsManagement SchoolLancaster University; Lancaster, United Kingdom;NA;NA;NA;7;United Kingdom;Lancaster
Andrea Ingianni; Department of EconomicsKingston University; Kingston-upon-Thames, United Kingdom;NA;NA;NA;0;United Kingdom;Kingston-upon-Thames
Vicente Inglada; Ministerio de FomentoGovernment of Spain; Madrid, Spain;NA;NA;NA;0;Spain;Madrid
Muhammad Azizul Islam; Business SchoolUniversity of Aberdeen; Aberdeen, United Kingdom;NA;NA;NA;0;United Kingdom;Aberdeen
Tatjana Ibraimovic; University of Leeds, Institute for Transport Studies, Choice Modelling Centre; United Kingdom, Leeds;NA;NA;NA;0;United Kingdom;Leeds
Stefania Innocenti; Smith School for Enterprise and the EnvironmentOxford University; Oxford, United Kingdom;NA;NA;NA;3;United Kingdom;Oxford
Ignacio A Inoa; Théorie Économique, Modélisation, Application (THEMA)Université de Cergy-Pontoise; Cergy-Pontoise, France;NA;NA;NA;30;France;Cergy-Pontoise
Raquel Insa-Ciriza; Facultat d'Economia i EmpresaUniversitat de Barcelona; Barcelona, Spain;NA;NA;NA;0;Spain;Barcelona
Muayad Ismail; Department of EconomicsUniversity of Reading; Reading, United Kingdom;NA;NA;1;2;United Kingdom;Reading
Maurizio Intartaglia; Department of EconomicsSussex Business SchoolUniversity of Sussex; Brighton, United Kingdom;NA;2;NA;9;United Kingdom;Brighton
Julien Idier; Banque de France; Paris, France;NA;NA;NA;43;France;Paris
Brahim Idir; Centre d'Économie de l'Université Paris-Nord (CEPN)Université Paris-13; Paris, France;NA;NA;NA;0;France;Paris
Andrea Isoni; Warwick Business SchoolUniversity of Warwick; Coventry, United Kingdom;NA;NA;NA;14;United Kingdom;Coventry
Alessia Isopi;(70%) School of EconomicsUniversity of Manchester; Manchester, United Kingdom;NA;NA;NA;7;United Kingdom;Manchester
Marlene Isore; Centre d'Études des Politiques Économiques (EPEE)Université d'Évry Val d'Essonne; Évry, France;NA;NA;NA;36;France;Évry
Alessandro Ispano; Théorie Économique, Modélisation, Application (THEMA)Université de Cergy-Pontoise; Cergy-Pontoise, France;NA;NA;NA;18;France;Cergy-Pontoise
Vincent Iehle; UFR Droit, Économie et GestionUniversité de Rouen; Rouen, France;NA;NA;NA;21;France;Rouen
Florian Ielpo; Centre de recherche de mathématiques et économie mathématique (CERMSEM)Centre d'Économie de la SorbonneUniversité Paris 1 (Panthéon-Sorbonne); Paris, France;NA;NA;NA;36;France;Paris
Vasso Ioannidou; Department of Accounting and FinanceManagement SchoolLancaster University; Lancaster, United Kingdom;NA;NA;NA;15;United Kingdom;Lancaster
Christos A Ioannou; Centre d'Économie de la SorbonneUniversité Paris 1 (Panthéon-Sorbonne); Paris, France;NA;NA;NA;4;France;Paris
Alfonsina Iona; School of Economics and FinanceQueen Mary University of London; London, United Kingdom;NA;NA;NA;6;United Kingdom;London
Klodiana Istrefi; Banque de France; Paris, France;NA;NA;NA;33;France;Paris
Herrade Igersheim; Bureau d'Économie Théorique et Appliquée (BETA); Nancy/Strasbourg, France;NA;NA;NA;57;France;Nancy
Ana Iglesias; EconometriaFacultade de Ciencias Económicas e EmpresariaisUniversidade de Santiago de Compostela; Santiago de Compostela, Spain;NA;NA;1;6;Spain;Santiago de Compostela
Emma M Iglesias; Facultade de Economía e EmpresaUniversidade da Coruña; A Coruña, Spain;NA;NA;NA;31;Spain;A Coruña
Juan Ignacio Ignacio Modrono-Herran; Departamento de Economía Aplicada III (Econometría y Estadística)Facultad de Economía y EmpresaUniversidad del País Vasco - Euskal Herriko Unibertsitatea; Bilbao, Spain;NA;NA;NA;0;Spain;Bilbao
Giulia Iori; Department of EconomicsCity University; London, United Kingdom;NA;NA;NA;48;United Kingdom;London
Maria Iosifidi; Montpellier Business School; Montpellier, France;NA;NA;NA;8;France;Montpellier
Inigo Iturbe-Ormaetxe; Departamento de Fundamentos del Análisis EconómicoFacultad de Ciencias Económicas y EmpresarialesUniversidad de Alicante; Alicante, Spain;NA;NA;NA;58;Spain;Alicante
Txomin Iturralde; Instituto de Economía Aplicada a la EmpresaUniversidad del País Vasco - Euskal Herriko Unibertsitatea; Bilbao, Spain;NA;NA;NA;0;Spain;Bilbao
Ugwushi Bellema Ihua;"Kent Business School
University of Kent"; Canterbury, United Kingdom;NA;NA;NA;0;United Kingdom;Canterbury
Marc Ivaldi; Toulouse School of Economics (TSE); Toulouse, France;4;NA;NA;213;France;Toulouse
Filippo Ippolito; Departament d'Economia i EmpresaUniversitat Pompeu FabraBarcelona School of Economics (BSE); Barcelona, Spain;NA;NA;NA;39;Spain;Barcelona
Yaroslav Ivanenko; Banque de France; Paris, France;NA;NA;NA;3;France;Paris
Asen Ivanov; School of Economics and FinanceQueen Mary University of London; London, United Kingdom;NA;NA;NA;15;United Kingdom;London
Delphine Irac; Banque de France; Paris, France;NA;NA;NA;28;France;Paris
Constantin Ilasca; Faculté d'économie de GrenobleUniversité Grenoble Alpes; Grenoble, France;NA;3;NA;9;France;Grenoble
Rossella Iraci Capuccinello; Lancaster University, Division of Health Research; United Kingdom, Lancaster;NA;NA;NA;4;United Kingdom;Lancaster
Belen Iraizoz; Departamento de EconomíaUniversidad Pública de Navarra; Pamplona, Spain;NA;NA;NA;2;Spain;Pamplona
Susana Iranzo; Centre de Recerca en Economia Industrial i Economia Pública (CREIP)Facultat de Ciències Econòmiques i EmpresarialsUniversitat Rovira I Virgili Tarragona; Reus, Spain;NA;NA;2;21;Spain;Reus
Inyaki Iriarte-Goni; Departamento de Estructura e Historia Económica y Economía PúblicaFacultad de Economía y EmpresaUniversidad de Zaragoza; Zaragoza, Spain;NA;1;NA;6;Spain;Zaragoza
Panagiotis Iliopoulos; University of Oxford, School of Geography and the Environment (University of Oxford); United Kingdom, Oxford;NA;NA;NA;3;United Kingdom;Oxford
Eleni Iliopulos;(80%) Centre d'Études des Politiques Économiques (EPEE)Université d'Évry Val d'Essonne; Évry, France;NA;NA;NA;65;France;Évry
Nagore Iriberri; Departamento de Análisis EconómicoFacultad de Economía y EmpresaUniversidad del País Vasco - Euskal Herriko Unibertsitatea; Bilbao, Spain;NA;NA;NA;92;Spain;Bilbao
Alejandra Irigoin; Department of Economic HistoryLondon School of Economics (LSE); London, United Kingdom;NA;NA;NA;30;United Kingdom;London
Ana Irimia Irimia-Dieguez; Facultad de Ciencias Económicas y EmpresarialesUniversidad de Sevilla; Sevilla, Spain;NA;NA;NA;0;Spain;Sevilla
Sebastian Ille; Economics FacultyNew College of the Humanities; London, United Kingdom;NA;NA;NA;15;United Kingdom;London
Viginta Ivaskaite-Tamosiune; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;22;Spain;Sevilla
Bernd Irlenbusch; Department of ManagementLondon School of Economics (LSE); London, United Kingdom;NA;NA;NA;2;United Kingdom;London
Manuel Illueca;"Departamento de Finanzas y Contabilidad (Department of Finance and Accounting)
Universitat Jaume I (Jaume I University)"; Castellón de la Plana, Spain;NA;NA;NA;11;Spain;Castellón de la Plana
Artjoms Ivlevs; Bristol Business SchoolUniversity of the West of England; Bristol, United Kingdom;NA;2;4;77;United Kingdom;Bristol
Ayobami Elijah Ilori; Department of EconomicsOpen University; Milton Keynes, United Kingdom;NA;NA;NA;4;United Kingdom;Milton Keynes
Henri Isaac; Centre de Recherche Économique Pure et Appliquée (CREPA)Dauphine Recherches en Management (DRM)Université Paris-Dauphine (Paris IX); Paris, France;NA;NA;NA;4;France;Paris
Ethan Ilzetzki; Economics DepartmentLondon School of Economics (LSE); London, United Kingdom;NA;NA;NA;96;United Kingdom;London
Marc Isabelle; Institut pour le Management de la Recherche et de l'Innovation (IMRI)Université Paris-Dauphine (Paris IX); Paris, France;NA;NA;NA;13;France;Paris
Katsushi S Imai; School of EconomicsUniversity of Manchester; Manchester, United Kingdom;2;2;62;272;United Kingdom;Manchester
Sriya Iyer; Faculty of EconomicsUniversity of Cambridge; Cambridge, United Kingdom;1;NA;5;65;United Kingdom;Cambridge
Tara Iyer;(50%) Department of EconomicsOxford University; Oxford, United Kingdom;NA;NA;NA;3;United Kingdom;Oxford
Amaia Iza; Departamento de Análisis EconómicoFacultad de Economía y EmpresaUniversidad del País Vasco - Euskal Herriko Unibertsitatea; Bilbao, Spain;NA;1;1;13;Spain;Bilbao
Clement Imbert; Department of EconomicsUniversity of Warwick; Coventry, United Kingdom;NA;NA;4;81;United Kingdom;Coventry
Hylmun Izhar; Institute for Middle Eastern and Islamic Studies, School of Government and International Affairs, University of Durham; Durham, United Kingdom;NA;NA;NA;0;United Kingdom;Durham
Ana I I. Sanjuan-Lopez; Unidade de Economía Agroalimentaria y de los Recursos NaturalesCentro de Investigación y Tecnología Agroalimentaria de Aragón (CITA)Government of Aragon; Zaragoza, Spain;NA;NA;NA;12;Spain;Zaragoza
Luis R Izquierdo; Área de Organización de EmpresasDepartamento de Ingenería CivilUniversidad de Burgos; Burgos, Spain;NA;NA;NA;6;Spain;Burgos
Zanna Iscenko;(50%) Financial Conduct Authority (FCA)Government of the United Kingdom; London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Mario Izquierdo; Banco de España; Madrid, Spain;NA;NA;NA;64;Spain;Madrid
Segismundo Samuel Izquierdo;(50%) Universidad de Valladolid (University of Valladolid); Spain, Valladolid;NA;NA;NA;7;Spain;Valladolid
Sofia Izquierdo Sanchez; Business SchoolUniversity of Huddersfield; Huddersfield, United Kingdom;NA;NA;NA;9;United Kingdom;Huddersfield
Herwig Immervoll;(25%) Directorate for Employment, Labour and Social Affairs (ELS)Organisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;1;NA;130;France;Paris
Marwan Abdu Izzeldin; Department of EconomicsManagement SchoolLancaster University; Lancaster, United Kingdom;NA;NA;NA;6;United Kingdom;Lancaster
Phoebe W Ishak; École d'Économie d'Aix-MarseilleAix-Marseille Université; Aix-en-Provence/Marseille, France;1;1;3;14;France;Aix-en-Provence
Francisco Jaime Sr J.;(50%) Departamento de Economía Financiera IIFacultad de Economía y EmpresaUniversidad del País Vasco - Euskal Herriko Unibertsitatea; Bilbao, Spain;NA;NA;NA;0;Spain;Bilbao
Francisco Javier Montoro Sr J.; Facultad de Ciencias Económicas y EmpresarialesUniversidad de Granada; Granada, Spain;NA;NA;NA;0;Spain;Granada
Adam Michael Johansen; Department of StatisticsUniversity of Warwick; Coventry, United Kingdom;NA;NA;NA;0;United Kingdom;Coventry
Aziz Jaafar; Bangor Business SchoolBangor University; Bangor, United Kingdom;NA;NA;NA;14;United Kingdom;Bangor
Beata Smarzynska Javorcik;(98%) Department of EconomicsOxford University; Oxford, United Kingdom;NA;7;12;164;United Kingdom;Oxford
Touria Jaaidane; Lille Économie et Management (LEM); Lille, France;NA;NA;NA;4;France;Lille
Fredj Jawadi; EconomiXUniversité Paris-Nanterre (Paris X); Nanterre, France;NA;NA;NA;0;France;Nanterre
Nabila Jawadi; Institut de Préparation à l'Administration et à la Gestion (IPAG); Paris, France;NA;NA;NA;4;France;Paris
Olfa Miss Jaballi; Faculté des sciences économiques, sociales et des territoiresUniversité de Lille; Lille, France;NA;NA;NA;2;France;Lille
Liza Jabbour; Birmingham Business SchoolUniversity of Birmingham; Birmingham, United Kingdom;NA;NA;NA;7;United Kingdom;Birmingham
Jon Michael Jachimowicz; School of ManagementUniversity of St. Andrews; Fife, United Kingdom;NA;NA;NA;0;United Kingdom;Fife
Anett John; Centre de Recherche en Économie et Statistique (CREST); Palaiseau, France;NA;NA;1;16;France;Palaiseau
Annette Jackle; Institute for Social and Economic Research (ISER)University of Essex; Colchester, United Kingdom;NA;NA;NA;56;United Kingdom;Colchester
Hubert Jayet; Lille Économie et Management (LEM); Lille, France;NA;NA;NA;27;France;Lille
Pierre-Alain Jayet; Économie PubliqueDépartement ECOSOCIO - Économie et Sciences Sociales pour l'Agriculture, l'Alimentation et l'Environnement (SAE2)Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement (INRAE); Paris-Grignon, France;NA;16;NA;35;France;Paris-Grignon
Christopher Jackson; Bank of England; London, United Kingdom;NA;NA;NA;4;United Kingdom;London
Geraint Johnes; Department of EconomicsManagement SchoolLancaster University; Lancaster, United Kingdom;NA;NA;NA;0;United Kingdom;Lancaster
Jill Johnes; Business SchoolUniversity of Huddersfield; Huddersfield, United Kingdom;NA;NA;NA;2;United Kingdom;Huddersfield
Emerson Abraham Jackson;(50%) Centre of West African Studies (University of Birmingham); United Kingdom, Birmingham;1;2;NA;54;United Kingdom;Birmingham
JCP Claudio JCP Galvez; Área de Economía AplicadaDepartamento de Estadistica, Econometria, Investigación Operativa, Organisacion de Empresas y Economía AplicadaUniversidad de Córdoba; Córdoba, Spain;NA;NA;NA;0;Spain;Córdoba
Emilio J J. Dominguez; Departamento de EconomíaUniversidad Pública de Navarra; Pamplona, Spain;NA;NA;NA;3;Spain;Pamplona
Alexis Jeamet; Centre d'Économie de l'Université Paris-Nord (CEPN)Université Paris-13; Paris, France;NA;NA;NA;2;France;Paris
Jonathan Jackson; London School of Economics (LSE); London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Sebastien Jean;(99%) Économie PubliqueDépartement ECOSOCIO - Économie et Sciences Sociales pour l'Agriculture, l'Alimentation et l'Environnement (SAE2)Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement (INRAE); Paris-Grignon, France;3;1;1;94;France;Paris-Grignon
Laura Jackson; Department of Law, Economics, Accountancy and RiskGlasgow School for Business and SocietyGlasgow Caledonian University; Glasgow, United Kingdom;NA;NA;NA;22;United Kingdom;Glasgow
Bruno Jeandidier; Bureau d'Économie Théorique et Appliquée (BETA); Nancy/Strasbourg, France;NA;1;NA;14;France;Nancy
